scenario,intent,Total_Slots_Used,Unique_Slots_Count,Associated_Entities
datetime,datetime_convert,656,5,"['place_name', 'time_zone', 'time', 'timeofday', 'person']"
lists,lists_createoradd,646,10,"['list_name', 'date', 'event_name', 'person', 'time', 'drink_type', 'music_descriptor', 'place_name', 'relation', 'general_frequency']"
lists,lists_remove,633,9,"['list_name', 'date', 'person', 'relation', 'song_name', 'event_name', 'meal_type', 'timeofday', 'place_name']"
lists,lists_query,575,9,"['list_name', 'date', 'app_name', 'business_name', 'person', 'event_name', 'music_genre', 'device_type', 'timeofday']"
alarm,alarm_query,420,7,"['date', 'timeofday', 'time', 'event_name', 'alarm_type', 'device_type', 'house_place']"
alarm,alarm_remove,413,7,"['time', 'date', 'timeofday', 'alarm_type', 'event_name', 'relation', 'person']"
iot,iot_coffee,407,7,"['device_type', 'coffee_type', 'time', 'date', 'business_type', 'business_name', 'timeofday']"
recommendation,recommendation_movies,404,10,"['place_name', 'movie_name', 'date', 'movie_type', 'business_type', 'timeofday', 'event_name', 'time', 'media_type', 'business_name']"
transport,transport_traffic,401,5,"['place_name', 'date', 'timeofday', 'time', 'event_name']"
music,music_settings,365,8,"['player_setting', 'media_type', 'device_type', 'song_name', 'artist_name', 'music_genre', 'music_descriptor', 'app_name']"
general,general_joke,314,6,"['joke_type', 'relation', 'date', 'person', 'food_type', 'business_type']"
iot,iot_wemo_off,303,2,"['device_type', 'house_place']"
iot,iot_wemo_on,260,2,"['device_type', 'house_place']"
iot,iot_hue_lightdim,224,4,"['house_place', 'change_amount', 'device_type', 'color_type']"
music,music_likeness,213,10,"['music_genre', 'artist_name', 'music_descriptor', 'player_setting', 'playlist_name', 'app_name', 'song_name', 'date', 'event_name', 'place_name']"
email,email_addcontact,204,7,"['email_address', 'person', 'personal_info', 'list_name', 'relation', 'place_name', 'business_name']"
iot,iot_hue_lightup,200,3,"['house_place', 'change_amount', 'device_type']"
audio,audio_volume_mute,195,6,"['time', 'device_type', 'timeofday', 'change_amount', 'date', 'event_name']"
music,music_query,185,9,"['artist_name', 'song_name', 'music_genre', 'date', 'timeofday', 'person', 'player_setting', 'music_album', 'media_type']"
audio,audio_volume_up,145,4,"['change_amount', 'device_type', 'song_name', 'media_type']"
iot,iot_hue_lighton,55,2,"['house_place', 'device_type']"
audio,audio_volume_down,50,2,"['change_amount', 'device_type']"
music,music_dislikeness,20,2,"['music_descriptor', 'music_genre']"
qa,qa_maths,20,2,"['date', 'general_frequency']"
general,general_greet,15,1,['date']
audio,audio_volume_other,15,1,['change_amount']
cooking,cooking_query,15,2,"['food_type', 'meal_type']"
